id,mfcc1_mean,mfcc1_std,mfcc2_mean,mfcc2_std,mfcc3_mean,mfcc3_std,mfcc4_mean,mfcc4_std,mfcc5_mean,mfcc5_std,mfcc6_mean,mfcc6_std,mfcc7_mean,mfcc7_std,mfcc8_mean,mfcc8_std,mfcc9_mean,mfcc9_std,mfcc10_mean,mfcc10_std,mfcc11_mean,mfcc11_std,mfcc12_mean,mfcc12_std,mfcc13_mean,mfcc13_std,spectral_centroid_mean,spectral_centroid_std
1_10004,-244.2266845703125,150.31805419921875,70.95361328125,64.51031494140625,-37.044517517089844,38.88008499145508,19.708877563476562,20.701852798461914,-22.682476043701172,23.934017181396484,-1.5322482585906982,17.002962112426758,-1.9316773414611816,10.816906929016113,-1.7636569738388062,14.109601974487305,-15.373952865600586,14.741357803344727,-12.56139087677002,9.441953659057617,-11.473212242126465,10.906477928161621,-8.690567970275879,8.086376190185547,-6.478873252868652,7.671876430511475,2736.4116047888465,1329.8361379595742
1_10009,-199.5012969970703,64.5146713256836,106.00394439697266,32.00885772705078,-67.64879608154297,22.326072692871094,5.401297092437744,13.853446006774902,-34.46597671508789,12.57439136505127,-4.401904582977295,9.561894416809082,-13.428747177124023,9.056933403015137,-7.992976665496826,7.943295955657959,-12.24382495880127,9.520613670349121,-3.9169583320617676,9.45829963684082,-2.9064645767211914,9.777312278747559,-7.525287628173828,8.254193305969238,-16.712203979492188,6.68441104888916,2091.9181306493765,562.065509193868
1_1001,-78.78043365478516,109.13636779785156,84.73112487792969,46.389041900634766,-20.50640869140625,35.93832778930664,31.591638565063477,24.685657501220703,-13.259864807128906,17.777462005615234,4.382521629333496,15.048669815063477,-20.94733238220215,14.964603424072266,-6.273219585418701,12.19933032989502,-21.339588165283203,13.691225051879883,-2.6627306938171387,12.071487426757812,-3.7122268676757812,12.967445373535156,-8.257476806640625,14.23218822479248,-9.524367332458496,9.129659652709961,2454.722385804621,1223.811219374141
1_1003,-98.8131332397461,82.31591033935547,110.6584701538086,49.638511657714844,-17.922996520996094,21.646377563476562,36.1038703918457,23.812589645385742,-12.306427955627441,16.743932723999023,2.548701524734497,17.293222427368164,-21.08830451965332,13.288779258728027,-9.79681396484375,11.024714469909668,-20.760517120361328,13.754369735717773,2.1360671520233154,11.16427993774414,-2.1987953186035156,12.392178535461426,-9.931139945983887,8.682572364807129,-13.474226951599121,7.8653788566589355,1885.5832233242354,914.7699070055862
1_10190,-298.80322265625,110.4543685913086,64.23301696777344,53.87513732910156,-43.656410217285156,37.881317138671875,22.328628540039062,27.209781646728516,-17.134199142456055,25.634084701538086,-3.4459004402160645,18.165475845336914,-10.617966651916504,15.746440887451172,-12.30160903930664,15.233596801757812,-25.717134475708008,14.43835163116455,-11.103738784790039,12.249439239501953,-11.204122543334961,12.650003433227539,-12.356719017028809,8.790069580078125,-10.733417510986328,10.532968521118164,2600.083519770009,1142.974042583452
1_10462,-242.24179077148438,79.11660766601562,95.01622009277344,51.91533279418945,-32.36481475830078,30.426921844482422,26.705385208129883,23.042556762695312,-17.805870056152344,18.756330490112305,1.7197394371032715,18.914859771728516,-6.317646026611328,10.871941566467285,-13.49223804473877,11.652798652648926,-19.220382690429688,13.276165008544922,-0.9509159326553345,13.094929695129395,-1.0723981857299805,11.341578483581543,-5.040048599243164,9.708257675170898,-10.362180709838867,8.283159255981445,2311.061040087858,967.4631799333436
1_10495,-331.7168884277344,169.33970642089844,73.48464965820312,53.65727615356445,-41.551666259765625,36.650611877441406,6.7428412437438965,23.15000343322754,-23.549175262451172,23.739749908447266,-7.649374485015869,21.590709686279297,-6.4456095695495605,13.871432304382324,-9.819560050964355,14.858183860778809,-14.988258361816406,15.018169403076172,-4.934967994689941,9.315199851989746,-8.709644317626953,13.354656219482422,-8.365076065063477,9.320019721984863,-14.900797843933105,11.725300788879395,2627.723073501993,1159.8195533130936
1_10496,-227.8971405029297,107.5741195678711,83.22039794921875,47.51898193359375,-60.706424713134766,33.6085319519043,10.98670768737793,28.134838104248047,-22.150985717773438,23.389087677001953,-13.76237678527832,20.858671188354492,-10.384613990783691,14.11731243133545,-9.391257286071777,15.04221248626709,-25.615673065185547,14.21221923828125,-5.003406524658203,12.24069595336914,-7.277253150939941,11.013568878173828,-13.326800346374512,9.42391300201416,-10.303576469421387,12.005192756652832,2330.4454965766304,906.4740503780232
1_105,2.3830208778381348,50.176761627197266,81.63508605957031,47.26260757446289,-45.85767364501953,31.61735725402832,13.044099807739258,18.44626808166504,-20.373188018798828,18.780445098876953,-1.3505338430404663,17.82769012451172,-13.738910675048828,12.627602577209473,-7.149064540863037,12.881589889526367,-21.239919662475586,11.88146686553955,-6.316731929779053,8.528159141540527,-8.185653686523438,8.709625244140625,-5.438045501708984,8.520476341247559,-11.131122589111328,7.779123306274414,2488.0321606138095,1125.7814639609896
1_10748,-225.04942321777344,79.0296630859375,104.73983764648438,34.9021110534668,-57.046905517578125,33.442501068115234,15.700050354003906,20.27009391784668,-24.716886520385742,16.19671058654785,-0.6577368974685669,14.771378517150879,-12.026504516601562,13.0978364944458,-11.141900062561035,9.154032707214355,-16.593713760375977,8.187201499938965,-0.6553359627723694,9.928961753845215,-6.205264091491699,8.073309898376465,-3.0809104442596436,8.846534729003906,-12.280139923095703,8.382707595825195,2163.8842405218556,853.9418388056197
