id,valence,arousal,dominance,f0_mean,f0_std,f0_range,jitter_local,shimmer_local,hnr_mean,voiced_ratio,speaking_rate_proxy,energy_std,dissonance_mean,dissonance_std,inharmonicity_mean,inharmonicity_std,major_fit,minor_fit,wholetone_fit,majorness,tonal_clarity,melodic_path_length,direction_change_rate,contour_slope,final_initial_diff,mean_interval_size,interval_std,num_notes_per_sec,direction_entropy,npvi_voiced,rpvi_pause,rpvi_pause_filtered,stress_contrast,ioi_cv,ioi_npvi,pitch_stress_contrast,sarcasm,show,speaker,audio_arousal,audio_valence,audio_dominance,text_arousal,text_valence,text_dominance,gap_arousal,gap_valence,gap_dominance,gap_total
1_60,0.68675,0.48875,0.65525,166.3719704804169,93.60443119630744,483.4535565144308,0.0169665511286724,0.1351394270829635,2.482382917125052,0.2663316582914573,5.485322719254603,9.892741571447736,301.4291652769151,298.0995659021149,0.1376390583755279,0.0565790041594629,0.4082035586129199,0.4172941662739169,0.1097642599896903,-0.0090906076609969,0.0867726819280289,4.26609201671137,1.4959971052512553,-3.142715026074602,-14.8240737982187,,,,,74.23663482487011,0.312,0.364,4.298544493024533,1.4458943526723829,31.064880921446186,6.328116030941823,1,BBT,SHELDON,-0.007420466767949385,-0.22610933521650722,0.11171761475146698,0.45135184840340237,0.47804019071033477,1.374681765778207,0.45877231517135175,0.704149525926842,1.2629641510267402,1.5170290171283387
1_70,0.6484,0.3932,0.6134000000000001,219.369202066898,64.94367773694363,424.2205099487169,0.0226695913265767,0.080565388468423,8.084333165326886,0.6296296296296297,6.981319824505857,10.511105941944782,126.76582986632329,136.98875580470062,0.1084281997356037,0.0679329139845863,0.3616794034411409,0.3143984963591943,0.098029217060675,0.0472809070819466,0.1535701764917862,13.368339458720031,5.98398842100502,-1.9932412338394223,13.311284706985074,11.324344568071616,0.0,0.6648876023338912,-0.0,109.12939695814389,0.15,0.16,3.0176165540644275,0.4794277180469328,34.817125588451766,3.545694790988624,1,BBT,PENNY,0.4293997697178151,0.864819053699927,0.49068537035291654,-0.4623069929438897,0.19807357779655985,0.9670224853253419,0.8917067626617048,0.6667454759033671,0.4763371149724253,1.2110274676135464
1_80,0.6827500000000001,0.417,0.46875,175.2013243525398,24.424304683843904,103.76891050093252,0.0172271588304468,0.1099944328548571,4.360663905256391,0.5125628140703518,7.230652675381067,5.526051199541505,685.7066148040724,946.9211832496994,0.1146515586300956,0.060198982859111,0.434214485672617,0.529366819453866,0.0099194829941484,-0.0951523337812489,0.179591708528271,12.8993252908666,4.986657017504184,-1.6872936023375178,-4.550595991636797,0.8539923366059649,0.9768155902603116,0.9973314035008368,0.9182958340544896,114.41509108175774,0.156,0.6399999999999999,2.732344729059961,0.4008326446053892,37.55168489941992,1.572495596589217,0,BBT,SHELDON,-0.4619828441932218,-0.25941101917002346,0.205504853449358,-0.23472896652771458,0.4488389794546615,-0.44200773970469565,0.2272538776655072,0.708249998624685,0.6475125931540536,0.9861718631957426
1_90,0.5597619047619048,0.4109047619047619,0.4655714285714287,192.16182214331732,44.17512084728939,343.8347445718556,0.0225351060472334,0.1226186717820935,5.16094391284802,0.6101468624833111,6.991291271341519,6.503726861378035,799.1616263527613,1076.045696102699,0.1118829467972113,0.0590968846279472,0.3298729203415824,0.4247065195742328,0.1185568917806439,-0.0948335992326504,0.0706013271515164,20.23981087344151,6.39203773379796,-0.0543617120843404,-10.623755244326723,2.453008383120608,3.987726590047299,0.9321721695122024,0.9957274520849256,79.96101458588568,0.1044444444444444,0.1547368421052631,2.553990365586889,0.4285810151245435,40.915196810734045,3.1419209769436303,0,BBT,SHELDON,-0.20955306075694863,-0.6725816782722095,0.1474467695377678,-0.2930122546054866,-0.44901135829048355,-0.47297008478090635,0.08345919384853795,0.22357031998172594,0.6204168543186741,0.6647301694200873
1_105,0.5892857142857143,0.3215714285714285,0.3888571428571428,186.468271051575,70.0015030668354,468.4612843071601,0.0238104928334748,0.1256895267813506,4.06560945004625,0.5819397993311036,7.313818760224043,5.426359239482951,885.56369474916,845.4946155796393,0.1224970484742928,0.0625709943275358,0.2449963022442781,0.3368120047856951,0.1294017353406675,-0.0918157025414169,0.0425167873829694,16.84128622185095,5.485364070168032,-1.4350387255776589,-5.984001661506039,1.8347089634602085,0.0,0.3324463072829111,-0.0,107.62055133449044,0.119047619047619,0.13,2.451774441482675,0.3150021322209951,34.11535450605407,3.675532109225253,1,BBT,SHELDON,-0.015557220814098549,-0.9645348625622396,0.1688061934746051,-1.1472266954953325,-0.23347860854622282,-1.2202410648225157,1.131669474681234,0.7310562540160168,1.3890472582971207,1.9350894894665671
1_162,0.441,0.337,0.543,114.73436671510822,36.019511249188284,168.9715120040209,0.0158728137794366,0.0762828913019595,7.388250694284658,0.5819397993311036,5.817810377450943,10.3196929815763,990.2393975220836,1414.9109828960134,0.1381510059918346,0.0584470343979838,0.3681716342724877,0.404202371725807,0.278580404233955,-0.0360307374533193,0.1958702872740555,11.251733788758273,6.150256684733854,-1.7554935427635965,-5.020258421570544,1.349202904942457,2.6702713135752085,1.4960083827730997,0.954434002924965,77.50146052849077,0.1261538461538461,0.1966666666666666,2.239854620450711,0.8188100185075396,48.46118452137944,1.9830232099242693,0,BBT,HOWARD,-0.559598699130818,0.06883485264944889,0.5479366184361808,-0.9996971225484714,-1.3160092258101395,0.28125872561490545,0.4400984234176535,1.3848440784595883,0.26667789282127535,1.4773614461122526
1_175,0.5392,0.4968000000000001,0.5514,163.00082610305378,38.43250826647005,247.3894148802446,0.0218535371908334,0.1031676041878316,4.6657308946730085,0.5329512893982808,7.266318605342397,5.7483498304243765,733.961149553702,688.1619693475445,0.1230367629968604,0.0668481679440221,0.2432873839197041,0.322456008120617,0.1860485240619825,-0.0791686242009128,0.0698173415879113,14.919254020572692,5.271642909758209,-0.6244606860431344,-14.8963336584818,4.104037892659228,4.504711616077299,0.7123841769943526,0.8112781244591328,96.1793616728573,0.2423529411764706,0.312,2.38337545868626,0.3997394040965709,46.49356344543766,2.797833587992762,1,BBT,SHELDON,-0.3577603735998051,-0.4032877021008572,0.30688225220405124,0.5283267691029916,-0.5991194894833415,0.36308281058035485,0.8860871427027968,0.1958317873824843,0.05620055837630361,0.9092079059128518
1_182,0.418,0.40275,0.4054999999999999,209.3687795483373,98.2505199597375,377.33177586530326,0.0355480409713459,0.1408236996117372,5.151102261185963,0.6305220883534136,5.784574468085106,10.025217574472428,626.3030803506961,635.787729113236,0.1425810308387091,0.0703876386301883,0.3671699205461081,0.3107401156739918,0.1598402396006987,0.0564298048721162,0.0727343827342906,22.660431849857275,5.984042553191489,-0.3932389725226312,-21.144331255684943,6.312385176490794,8.516621149474052,0.9973404255319148,1.0,60.6158296601845,0.0408333333333333,0.0233333333333333,2.436071402955228,0.8327957261924431,41.9517778895578,4.109426390071049,1,BBT,SHELDON,0.2909278414992045,-1.183818215389216,0.026599971186328324,-0.3709889193189118,-1.4839161905302654,-1.0581236175695414,0.6619167608181162,0.3000979751410493,1.0847235887558697,1.3056867376745152
1_213,0.67136,0.43596,0.57816,180.7366622884798,81.31524879296444,502.07156801299215,0.0263783402450026,0.1229574105017771,5.929527887384822,0.6536536536536537,6.496523402442231,8.459330894823777,849.6016600907034,1204.6234586402315,0.1336270502504487,0.0916695659837582,0.380300424449182,0.3677028806125038,0.1776790945740718,0.0125975438366781,0.0152465042506606,19.50368458216796,7.795828082930677,-0.1669700030292161,6.162753114081847,2.9533996736295016,3.856137826332143,0.8495453680116763,0.954434002924965,84.97975529984879,0.0821621621621621,0.1007692307692307,3.8486014019807495,0.5259068697524029,40.07671334060549,4.329747461716544,1,BBT,SHELDON,0.10051668339327038,-0.8210575509348765,0.2519922894307876,-0.05343151355079481,0.36568853040412874,0.6237509669702878,0.1539481969440652,1.1867460813390052,0.37175867753950015,1.2531044741926873
1_276,0.576,0.5511999999999999,0.543,147.97208568680028,61.482854426932434,493.9464668317126,0.0203410299568594,0.1148083388067995,8.396532661336366,0.7528230865746549,6.875,6.939667762235753,320.24569444866194,316.67615745007737,0.129797026607248,0.0629753343832379,0.2801461713162113,0.252084031566296,0.0526851944413149,0.0280621397499152,0.1822996504670493,15.202183088683835,8.5,-0.0335388494825266,-5.455585428321189,1.2245407533929291,1.405577765949164,2.125,0.8960382325345574,105.67175990913596,0.093,0.0914285714285714,2.7966467508254604,0.5023187605020545,39.20549636763192,1.554832597209722,1,BBT,LEONARD,-0.22116493541426072,0.38514278730501406,0.3766901500235869,1.048505115197105,-0.3304683459311406,0.28125872561490545,1.2696700506113656,0.7156111332361547,0.09543142440868146,1.460571288296354
