id,audio_arousal_wav2vec,audio_dominance_wav2vec,audio_valence_wav2vec
1_10004,0.6852249503135681,0.7182071208953857,0.6109321713447571
1_10009,0.7980786561965942,0.7619010210037231,0.6469391584396362
1_1001,0.6958044171333313,0.7169269323348999,0.5740237236022949
1_1003,0.6365009546279907,0.6851696968078613,0.8314887881278992
1_10190,0.7046446800231934,0.7144573330879211,0.5443997383117676
1_10462,0.6560344099998474,0.6915920972824097,0.8606440424919128
1_10495,0.649692952632904,0.675607442855835,0.6242121458053589
1_10496,0.8664182424545288,0.8351384401321411,0.7444269061088562
1_105,0.8667229413986206,0.8471720814704895,0.6212023496627808
1_10748,0.7815707921981812,0.7673560976982117,0.5989673733711243
1_10797,0.737421989440918,0.7434625625610352,0.758730947971344
1_10810,0.6960219144821167,0.7168673872947693,0.7694672346115112
1_10829,0.7228249311447144,0.7438846230506897,0.805004894733429
1_10849,0.4165531098842621,0.4893813133239746,0.6083385944366455
1_10853,0.6251850128173828,0.6287057399749756,0.5326807498931885
1_10857,0.7851824164390564,0.7904438376426697,0.9051445126533508
1_10859,0.6523711681365967,0.659548819065094,0.674724280834198
1_10890,0.7715330123901367,0.7615295648574829,0.7090106010437012
1_10977,0.6751462817192078,0.7361931204795837,0.5553950071334839
1_11006,0.4101808965206146,0.503593921661377,0.6242387294769287
1_11021,0.7563561201095581,0.7691840529441833,0.6143748164176941
1_11042,0.8296753168106079,0.7619187235832214,0.4502190053462982
1_11046,0.5070094466209412,0.5191985368728638,0.501432478427887
1_11051,0.8042230606079102,0.7937948703765869,0.8348508477210999
1_11055,0.7341253757476807,0.7344752550125122,0.7712281942367554
1_11098,0.8062692284584045,0.7752312421798706,0.6358354091644287
1_11120,0.7231646776199341,0.7212667465209961,0.7086764574050903
1_11177,0.676457941532135,0.679600715637207,0.7394912242889404
1_11201,0.7435250878334045,0.7532208561897278,0.6764117479324341
1_11224,0.7223567366600037,0.7357677221298218,0.7664397954940796
1_11232,0.8331639766693115,0.7968364953994751,0.988446831703186
1_11236,0.8229058980941772,0.8069193363189697,0.491309255361557
1_11242,0.8451310396194458,0.8226848244667053,0.674609899520874
1_11243,0.8525675535202026,0.8232504725456238,0.8619391322135925
1_11253,0.7880500555038452,0.7885993719100952,0.7070262432098389
1_11257,0.5099822282791138,0.5288934111595154,0.5492886304855347
1_11306,0.2368468940258026,0.35771435499191284,0.410597562789917
1_11322,0.816405177116394,0.7933324575424194,0.8076286315917969
1_11378,0.6016498804092407,0.6217957735061646,0.5769749879837036
1_11439,0.7521587610244751,0.7581084966659546,0.69296795129776
1_1144,0.7763225436210632,0.7859419584274292,0.7596591114997864
1_11485,0.7052944898605347,0.6690401434898376,0.6188143491744995
1_11526,0.7726008892059326,0.7857611179351807,0.6519879102706909
1_11529,0.6716579794883728,0.6886019706726074,0.35344481468200684
1_11609,0.5860929489135742,0.6198679208755493,0.6883554458618164
1_11697,0.803505003452301,0.7862754464149475,0.6386972665786743
1_11699,0.7266491651535034,0.7332590818405151,0.5532273054122925
1_11723,0.6384474039077759,0.6439279913902283,0.48492544889450073
1_11736,0.6192794442176819,0.6384993195533752,0.2442328929901123
1_11773,0.8159825801849365,0.7882634997367859,0.7328534126281738
1_1180,0.7739878296852112,0.7634842395782471,0.5943171381950378
1_1185,0.718670129776001,0.7160886526107788,0.9061166048049927
1_11885,0.6690375804901123,0.6688678860664368,0.54409259557724
1_11889,0.6908763647079468,0.7047843337059021,0.8437972068786621
1_1189,0.5826886892318726,0.6434595584869385,0.2812064290046692
1_11901,0.8576529026031494,0.8330536484718323,0.8508435487747192
1_11913,0.5953911542892456,0.6257473230361938,0.4623781740665436
1_11924,0.7077982425689697,0.7125412821769714,0.8374744057655334
1_11928,0.6683567762374878,0.7012225389480591,0.6535782814025879
1_12002,0.7377005219459534,0.7322355508804321,0.7007282376289368
1_12083,0.6955493092536926,0.6719543933868408,0.8116926550865173
1_12202,0.7337939739227295,0.7314743995666504,0.6084756851196289
1_12275,0.7701035737991333,0.7585728168487549,0.6201727390289307
1_12320,0.7030647397041321,0.7077880501747131,0.7346988320350647
1_12331,0.7077159881591797,0.7244632244110107,0.5302475690841675
1_1262,0.5569984316825867,0.6233319044113159,0.6261597275733948
1_1296,0.7119899988174438,0.7267967462539673,0.7200512886047363
1_1466,0.550707221031189,0.5865581035614014,0.6726173162460327
1_1470,0.5604413747787476,0.5984356999397278,0.2189805656671524
1_1478,0.7135497331619263,0.7483841180801392,0.7580475807189941
1_1484,0.7479267716407776,0.7526609897613525,0.2708473801612854
1_1549,0.7522199153900146,0.7569884061813354,0.5777924060821533
1_1560,0.6925296187400818,0.7352762222290039,0.6496298313140869
1_162,0.5485761761665344,0.6002148389816284,0.7010432481765747
1_1627,0.8216665387153625,0.7966179847717285,0.7329168915748596
1_1638,0.6552802324295044,0.6751633882522583,0.49526891112327576
1_1666,0.7175688743591309,0.7185518145561218,0.5036154389381409
1_1678,0.7082959413528442,0.7295269966125488,0.7230323553085327
1_1722,0.4955577552318573,0.5607618093490601,0.6151227355003357
1_1732,0.8606875538825989,0.853341817855835,0.6232501268386841
1_175,0.7298668622970581,0.7458441853523254,0.6671870946884155
1_1772,0.8507211208343506,0.8266838192939758,0.8479682207107544
1_1798,0.7977640628814697,0.7924779653549194,0.5072141885757446
1_1803,0.6480065584182739,0.6430939435958862,0.6040325164794922
1_182,0.7592766284942627,0.7482109665870667,0.6693253517150879
1_1931,0.7475625872612,0.7706437706947327,0.7623743414878845
1_1973,0.8002653121948242,0.8153433799743652,0.9565149545669556
1_1987,0.5957209467887878,0.637732744216919,0.5851055979728699
1_2075,0.7992716431617737,0.7858102321624756,0.5476013422012329
1_2119,0.8422454595565796,0.8055394291877747,0.7946605086326599
1_213,0.8501734733581543,0.836788535118103,0.5482965111732483
1_2198,0.7746648788452148,0.774438738822937,0.6772269606590271
1_2216,0.9036644101142883,0.8486263751983643,0.24884657561779022
1_2354,0.7076495289802551,0.7102895379066467,0.749756932258606
1_2361,0.9253482818603516,0.8829901814460754,0.9158356785774231
1_2420,0.7921702861785889,0.788673996925354,0.6535086631774902
1_2423,0.6769828796386719,0.7209501266479492,0.7310388684272766
1_2464,0.5738946199417114,0.6361439824104309,0.7299627065658569
1_2575,0.6431800127029419,0.6686764359474182,0.2545127272605896
1_2580,0.6357008814811707,0.6505687236785889,0.5939714908599854
1_2614,0.6651750802993774,0.7016545534133911,0.6140648126602173
1_2616,0.7982689142227173,0.7979932427406311,0.5705152750015259
1_2664,0.6362471580505371,0.6563088893890381,0.5179756283760071
1_2669,0.5203464031219482,0.5857977867126465,0.2934339642524719
1_276,0.6116417646408081,0.6377958059310913,0.5938851237297058
1_2778,0.774850606918335,0.7909055948257446,0.7923324108123779
1_2792,0.674177885055542,0.7072393894195557,0.6252631545066833
1_2797,0.7580775022506714,0.7661821842193604,0.6416336894035339
1_2819,0.8047029972076416,0.7835036516189575,0.6786478757858276
1_2830,0.8308638334274292,0.797835648059845,0.8326005935668945
1_2837,0.8966419696807861,0.8536152839660645,0.865290641784668
1_2842,0.8878331184387207,0.8190099000930786,0.41934213042259216
1_2853,0.5791560411453247,0.6357645988464355,0.7682778239250183
1_3064,0.6903087496757507,0.726203441619873,0.7297638654708862
1_3069,0.597959041595459,0.6561745405197144,0.5370499491691589
1_3125,0.8523850440979004,0.84699547290802,0.5676920413970947
1_3177,0.7502084970474243,0.7618908286094666,0.7908961772918701
1_3204,0.8859239816665649,0.8787664771080017,0.8420136570930481
1_3256,0.6398700475692749,0.6806711554527283,0.6325909495353699
1_3259,0.6964414715766907,0.7287850379943848,0.8601720333099365
1_3287,0.7669416069984436,0.7824238538742065,0.6932708024978638
1_3293,0.7195305824279785,0.7657734751701355,0.8371243476867676
1_3333,0.6583212614059448,0.6484523415565491,0.5897027254104614
1_3348,0.6783336997032166,0.6726986169815063,0.7427431344985962
1_3371,0.4866689443588257,0.5346958041191101,0.4750167429447174
1_340,0.877835750579834,0.8694777488708496,0.7449748516082764
1_3419,0.6144566535949707,0.6215394735336304,0.5137134790420532
1_3476,0.7085942625999451,0.7243026494979858,0.6459483504295349
1_3545,0.6921451687812805,0.7447181940078735,0.7903406620025635
1_3573,0.6503576636314392,0.6914583444595337,0.5769367218017578
1_3599,0.6192997694015503,0.6311212778091431,0.42807435989379883
1_3649,0.7764096260070801,0.7736549973487854,0.829824686050415
1_3660,0.74924635887146,0.7388856410980225,0.7280155420303345
