jitter_local_stable,shimmer_local_stable,nid
0.011539551924287152,0.1642465249352918,51_0
,,51_3
,,51_4
0.001880210956409427,0.0754100211809604,51_7
0.004366406754081611,0.1364651906675679,51_8
0.004574932516406859,0.1308240105565027,51_9
0.004280603459847344,0.061772037845498104,51_10
0.003087866666215964,0.05297984991076171,51_11
0.0026183924417894394,0.09990458688610561,51_12
0.003329850928474784,0.07059469694209237,51_13
0.00326848470271722,0.06497521974391678,51_14
0.003046915122167642,0.07305762141957413,51_16
0.005269422786746029,0.1067200641059061,51_17
0.0075517513392310545,0.0671356417588659,51_18
0.006912940857596582,0.0910565863375228,51_20
0.01139116207037323,0.2112006559117293,51_21
0.004549988227084039,0.06136750000712407,51_22
0.009210129203087258,0.12041762742212071,51_23
0.0035670937482480294,0.1381920903335969,51_26
0.007571106126277054,0.0921916301657767,51_27
0.0041750546155554236,0.0710449770763923,51_32
0.0044596804933724555,0.10572006484111349,51_34
0.009115937333499361,0.08176705042269093,51_37
0.007492671539894406,0.10356446248669432,51_38
0.009163819013556073,0.062138959332239285,51_39
0.0024227202258954882,0.044559961700935916,51_40
0.004608521063680768,0.13720468754638562,51_41
0.008656205323157626,0.10336355603763384,51_42
0.00640719915686027,0.06063668067766089,51_43
0.002869667696087483,0.07337260012336849,51_44
0.005613337250836007,0.12778277873155405,51_46
0.007446097311314869,0.13339076138184522,51_47
0.002584621634282067,0.05428828529215399,51_49
0.0043725376939326025,0.09687409606010007,51_50
0.00671552800651283,0.10546845362408142,51_53
0.003781408694071589,0.09731942829719695,51_54
0.002956882384356639,0.10229112792940077,51_55
,,51_57
0.0027091309639147676,0.17824749813504592,51_60
0.00530266452406199,0.04682604453200019,51_62
0.007227242534701532,0.09271610484015078,51_63
0.006989016619900649,0.1204119672545723,51_64
0.007162298987699755,0.08117756660312525,51_65
0.025684116522829953,0.16259581743471663,51_67
0.008667238171928292,0.09670821513570253,51_70
0.00328843678423996,0.09848728244498269,51_71
0.01752044161578311,0.1437417772963236,51_72
0.003107076367276682,0.07141576714221162,51_73
0.0029334051103243114,0.07375090681163717,51_76
0.0072351641018096454,0.1384429219339455,51_78
,,51_81
0.02083387546729808,0.14638737368174162,51_82
0.005515308600676501,0.07424582235257521,51_83
0.0063965711208360245,0.16256445862685892,51_84
0.005240154637105636,0.06636026557861656,51_85
0.0268249539153844,0.13825802215221183,51_86
0.012335215162964324,0.08774508068115086,51_90
0.006246174904422952,0.09883307560824717,51_91
0.012575628383548419,0.1068216126876949,51_92
0.009882584268133758,0.08500933448902066,51_94
