jitter_local_stable,shimmer_local_stable,nid
0.009791333451736994,0.1505019545939067,51_1
0.0028159285742843545,0.1089493517151724,51_2
0.007571797574669059,0.21922338400373548,51_5
0.0030248314158911192,0.07698615836039288,51_6
,,51_15
0.007327500601082085,0.07981674154667169,51_19
0.007340532122011169,0.16409393413839257,51_24
0.003274610294340406,0.08992936806753146,51_25
0.003639012409739408,0.09198821561147835,51_28
0.009470429784056262,0.11712267125834407,51_29
0.004459946305778643,0.06686858103008107,51_30
0.022813635118557034,0.2402421545197235,51_31
0.005847275039472548,0.0907436351939556,51_33
0.006378876204257604,0.10182632841138746,51_35
,,51_36
0.007414281633353324,0.13326631025241514,51_45
0.004915980195497967,0.05017664225959241,51_48
,,51_51
0.006638708260953789,0.11997241968452631,51_52
0.013074925061904384,0.22289051395563822,51_56
0.005310337473910396,0.12015022699588239,51_58
0.0053881242545625214,0.09762345729345887,51_59
0.0029943547922118385,0.04837283059376223,51_61
0.012046795143896272,0.09149774665815105,51_66
0.012366740168372423,0.11041391067028736,51_68
0.004407645800902786,0.0964042508364758,51_69
0.010941304767286043,0.2347515281717757,51_74
0.005405842152483633,0.0960124607736987,51_75
0.004692771133094711,0.12850542399874812,51_77
0.0025925361200186126,0.06520982380467184,51_79
0.0037716074719043786,0.10778901289695471,51_80
0.006864189099408443,0.08551623584364144,51_87
0.008426654115456135,0.07377037620266556,51_88
0.005283709383052414,0.09530370470906058,51_89
0.007807304534216996,0.1043151541498576,51_93
0.005069213277327527,0.025696564624594482,51_96
0.0060678636455023536,0.12694133506463895,51_102
0.010755787228976773,0.10354556286718623,51_106
0.005948035546677234,0.13727209003928253,51_114
0.003585770158193442,0.06946139502285176,51_118
0.0076933457555226,0.05067090245688059,51_119
0.004295697295364971,0.04170177282258553,51_120
0.0037820765651589766,0.05791874745828055,51_122
0.0047628960907237505,0.05663743004637863,51_123
,,51_124
,,51_125
,,51_128
0.00984851368097931,0.14317628755818104,51_129
0.003586949038081065,0.05599683924810633,51_136
0.0016059110644156488,0.04384753229942011,51_143
0.008457740274019215,0.06015264209958699,51_148
0.005961156059122671,0.08981211788148466,51_156
0.005605193140436976,0.08759842053250422,51_157
0.0023340776951453835,0.06931302836116322,51_159
0.002773574517588188,0.05327515687155644,51_164
0.007470956521557006,0.07142659580366077,51_170
0.009808131741404056,0.0947750200937489,51_172
0.004835838658739678,0.0792063305488688,51_173
0.0031425789816872172,0.042826110885821944,51_177
0.014218009669994518,0.0732197210967096,51_184
0.017253747153988322,0.12024467681893716,51_185
0.005856507625186628,0.1010527460205371,51_200
0.004252840567739343,0.06237759047286299,51_214
,,51_215
0.006440975728309067,0.08237548672689372,51_216
0.0008999002180077761,0.06762099219778918,51_218
0.003963130025238454,0.028033344410125706,51_221
0.0051985084546397895,0.046519878217037826,51_227
0.0029473288113068203,0.09983579781178492,51_241
0.006079629673019999,0.10823737373203962,51_242
0.00726638340776003,0.09680358472659774,51_243
0.003370792016667993,0.13746584623521013,51_246
0.003526130478656292,0.14212420602741657,51_248
0.009855460364083081,0.08143004805900912,51_249
0.004948258185040233,0.04225678233842805,51_251
0.008719734500261962,0.07323677151430102,51_252
0.008977393974264591,0.07948761773935493,51_260
0.0018651853542710043,0.057579264556481616,51_261
0.018834404779282356,0.12565687514594678,51_271
0.006303186435551378,0.06641117777032648,51_285
0.0074260966713840795,0.13441018133952465,51_288
0.006689006028462029,0.06592395372460436,51_296
0.004216937029168219,0.06948448635333576,51_299
0.010137108334347174,0.1311239786618892,51_310
0.024416003686392098,0.09691911003804383,51_311
0.0024445289796084227,0.044228735364971974,51_316
0.0026763838884676216,0.06593836387036801,51_317
,,51_320
0.008143610802106842,0.132785358969132,51_322
,,52_3
0.002821552190700105,0.05230867212064353,52_8
0.004972462861564437,0.10011918492323173,52_11
0.005666974991939338,0.09180913854274195,52_12
,,52_15
0.005371828202678135,0.0652991432971305,52_18
0.011335767984105929,0.08856345208404026,52_26
0.008548225199508694,0.10012658034414842,52_39
0.0024230457225157794,0.05132409203077589,52_41
0.004558471752222568,0.04832362639611307,52_44
0.004559475041389694,0.07857192014616654,52_52
,,52_53
0.003547198254425432,0.11912949230497462,52_57
0.0029932680924572544,0.0722887665545579,52_64
0.0016652376033391722,0.03302437073944696,52_65
0.0034067773138733047,0.06313259091345594,52_71
0.003266145958384033,0.1051158885279594,52_74
0.0035041951921537303,0.09934788483744889,52_92
0.005217320862542688,0.0653995719221359,52_94
0.02039852510622708,0.10389187237362645,52_98
0.009046224717660308,0.08990982537932177,52_99
,,52_103
0.0034229119019602203,0.05462743908934288,52_104
0.004036437699464009,0.034863736257307355,52_113
0.007556548947983436,0.10162451847379218,52_129
,,52_130
0.0026708925799810907,0.053129247372662135,52_139
0.0036720501974249085,0.07737293234315482,52_140
0.008285586960875951,0.06842010590953214,52_141
0.004135631786066369,0.08589720507062758,52_143
,,52_153
0.003563219554342097,0.10763723053576364,52_154
0.002488639050057183,0.03200538696250042,52_161
0.006284853733994286,0.11337275665800942,52_166
0.012162544986202239,0.21811930724482392,52_167
0.006450612457856115,0.07064708713539306,52_169
,,52_172
0.005129272740979617,0.07887203576445374,52_173
0.010826404815478545,0.10663685268453646,52_177
0.013182255063597501,0.09941873220096603,52_180
,,52_182
0.005896593844573005,0.1087511376505911,52_189
0.012621239057581298,0.09725542128987352,52_192
0.005702758822846691,0.07458453795053221,52_199
0.007323086836932002,0.04669229873752084,52_210
0.004122158485480137,0.06739034743907119,52_216
0.0055760603099566375,0.07082742742834228,52_218
0.011560439955097241,0.12912725964800337,52_221
0.0031368230805647345,0.09705029884152577,52_224
0.003626169954900621,0.0860908566672225,52_227
0.004790162725647346,0.06286638741384458,52_231
0.007188599709422735,0.049580941476842055,52_232
0.0073374798343324105,0.08189888114422651,52_234
0.007123738647702662,0.1265521391906767,52_235
0.024993097862745374,0.07798052501584192,52_242
0.0041799017991470035,0.08208406989309629,52_249
0.033238767176176215,0.18964786934904465,52_251
0.01570162051795319,0.06802046863137703,52_259
,,52_260
0.003626560375510333,0.06683134648576272,52_263
0.004497474460443016,0.0894097165206241,52_264
0.003753980399824098,0.0906548839467425,52_265
0.0032455433490619317,0.181808678936768,52_266
0.008349085805741846,0.07850058832531769,52_267
0.021162784677926937,0.11430547559787325,52_270
0.006095300840347815,0.06865974549415972,52_271
0.010944306539644868,0.053739628888852996,52_274
0.002723694461052462,0.04263888672668446,52_275
0.0040275174862405136,0.09328126362602546,52_276
0.0032261357078967644,0.04000533428555977,52_280
0.004470282325182118,0.06795455716509388,52_281
0.002151154895327561,0.037867133135681755,52_282
0.006370567579775423,0.06413635696393309,52_283
0.009089077287515436,0.19234277304157205,52_288
0.009824866463541446,0.1599229953589271,52_291
0.007545815073357171,0.14038092365768526,52_293
0.011673601806008812,0.10988015241857751,52_297
0.0025873057067037418,0.03166764770993015,52_300
,,52_301
0.0065048158721315,0.06441455656039537,52_302
0.016739796587823284,0.05274703180353035,52_308
0.002563100105788842,0.09164870003859711,52_314
0.0043127738672869365,0.048709557802956556,52_318
0.005873675011767402,0.07814496888428649,52_321
,,52_324
0.006714025688166055,0.05844234276573966,52_325
,,52_330
0.004291470838666031,0.07084802298592507,52_334
0.006154127836639591,0.12073924356966843,52_336
0.0038462607446214216,0.10712990133340747,52_340
0.005412007463572385,0.07038379886776781,52_342
0.006546668647911254,0.08576115515222621,52_343
0.00402754696325888,0.09639211086787564,52_347
0.008142019115305767,0.08016134848446144,52_351
0.004092641886039323,0.025525033733202494,52_359
0.0018114588133945,0.043721077639963045,52_370
,,52_371
0.020751118644088993,0.15081880255279004,52_376
0.0056626312045565935,0.057497431976857326,52_379
0.0037259699792563175,0.0638187448083687,52_382
0.011232731077699608,0.14176232053349833,52_383
0.004702013305874837,0.12821535762022468,53_0
0.017313855154905758,0.10150548075557349,53_2
,,53_7
0.014111942408122111,0.08749498555612402,53_11
,,53_12
0.010064692744570246,0.13973367917467897,53_18
,,53_20
,,53_23
0.006909644255594016,0.1931883017048429,53_24
0.005371004770824243,0.062126635668192105,53_27
0.0016720946271438933,0.048036581424795714,53_28
