nid,audio_arousal_wav2vec,audio_dominance_wav2vec,audio_valence_wav2vec
51_1,0.6744624376296997,0.663475751876831,0.39192914962768555
51_2,0.7970471382141113,0.7435157299041748,0.6108695864677429
51_5,0.6950296759605408,0.6739391088485718,0.739434540271759
51_6,0.6852847337722778,0.6487141251564026,0.6076239347457886
51_15,0.4987565875053406,0.5390939116477966,0.5150490403175354
51_19,0.7171989679336548,0.7159121632575989,0.7896970510482788
51_24,0.6192419528961182,0.6283048391342163,0.5060009956359863
51_25,0.6924378871917725,0.6848105192184448,0.9162688851356506
51_28,0.6475582122802734,0.6628029942512512,0.8710570335388184
51_29,0.7163134813308716,0.7098907232284546,0.708128809928894
51_30,0.6876850724220276,0.6566035747528076,0.4015434682369232
51_31,0.5848477482795715,0.5999013185501099,0.7502843141555786
51_33,0.7154728174209595,0.7542123198509216,0.9897868633270264
51_35,0.6159182786941528,0.6440725922584534,0.8166431188583374
51_36,0.8487241864204407,0.7662441730499268,0.8196135759353638
51_45,0.6959084272384644,0.6521214246749878,0.6476422548294067
51_48,0.6216639876365662,0.6588445901870728,0.7730140686035156
51_51,0.6392325162887573,0.6596970558166504,0.7271507382392883
51_52,0.7019199132919312,0.6639456748962402,0.5983227491378784
51_56,0.6462076902389526,0.6668345928192139,0.603739321231842
51_58,0.5446131825447083,0.5731564164161682,0.6795178055763245
51_59,0.5854384303092957,0.6095110177993774,0.8936247229576111
51_61,0.6692821979522705,0.6421291828155518,0.6345736980438232
51_66,0.7856805324554443,0.756553590297699,0.5801085233688354
51_68,0.6302515268325806,0.6438482999801636,0.39643004536628723
51_69,0.6272698640823364,0.6246424317359924,0.6052542328834534
51_74,0.6775861978530884,0.6988309621810913,0.3607706129550934
51_75,0.7175930738449097,0.7271929979324341,0.5604859590530396
51_77,0.6699418425559998,0.6649349927902222,0.6879668235778809
51_79,0.5454485416412354,0.622219443321228,0.35077351331710815
51_80,0.5243457555770874,0.5712668895721436,0.545436441898346
51_87,0.6384196281433105,0.6284753680229187,0.5371715426445007
51_88,0.7640380859375,0.7381559610366821,0.5389730334281921
51_89,0.6701244711875916,0.677450954914093,0.6375422477722168
51_93,0.8502660989761353,0.794089674949646,0.5643207430839539
51_96,0.6842178106307983,0.6813343167304993,0.29774338006973267
51_102,0.6063758134841919,0.5880992412567139,0.44704240560531616
51_106,0.6931122541427612,0.7011125683784485,0.31784841418266296
51_114,0.6369813680648804,0.6264855861663818,0.644127368927002
51_118,0.5213541388511658,0.548224151134491,0.44433894753456116
51_119,0.6841655969619751,0.6504161357879639,0.5768933892250061
51_120,0.561924159526825,0.6194663047790527,0.8707724809646606
51_122,0.6223252415657043,0.6482781171798706,0.6316606998443604
51_123,0.5181531310081482,0.5590580105781555,0.35461345314979553
51_124,0.6353890895843506,0.6121482849121094,0.5817294120788574
51_125,0.7970223426818848,0.7546007633209229,0.8357241153717041
51_128,0.3869113028049469,0.5067341327667236,0.49272239208221436
51_129,0.6079078316688538,0.6028542518615723,0.6933183670043945
51_136,0.6847568154335022,0.6699643135070801,0.6910925507545471
51_143,0.7180835008621216,0.6959514617919922,0.646798849105835
51_148,0.7358839511871338,0.7025750875473022,0.790235161781311
51_156,0.7943499684333801,0.7417622208595276,0.5280729532241821
51_157,0.7931349277496338,0.7489213943481445,0.6853414177894592
51_159,0.7101487517356873,0.6900696754455566,0.5906881093978882
51_164,0.7321591377258301,0.6966615319252014,0.7237093448638916
51_170,0.6747663021087646,0.6932926177978516,0.6659468412399292
51_172,0.7888692617416382,0.7772991061210632,0.3425097167491913
51_173,0.8376789093017578,0.7611634731292725,0.4748159348964691
51_177,0.6352123022079468,0.6575958132743835,0.47671303153038025
51_184,0.7298470139503479,0.7099255919456482,0.7251728177070618
51_185,0.6975613236427307,0.6720200181007385,0.4404258131980896
51_200,0.5233782529830933,0.5709608793258667,0.5875746011734009
51_214,0.7147189378738403,0.7056367993354797,0.48155543208122253
51_215,0.6660174131393433,0.7164789438247681,0.15564776957035065
51_216,0.7133938074111938,0.7123987674713135,0.4539569318294525
51_218,0.8598077297210693,0.8000437021255493,0.2799954414367676
51_221,0.7538424134254456,0.7609988451004028,0.6026778221130371
51_227,0.6008015871047974,0.6189402341842651,0.8240846991539001
51_241,0.2990739345550537,0.38268163800239563,0.4448429346084595
51_242,0.6090559959411621,0.6386291980743408,0.7867685556411743
51_243,0.5017580389976501,0.5645803213119507,0.5081465244293213
51_246,0.8431879281997681,0.7690643072128296,0.5647078156471252
51_248,0.5617530941963196,0.6060495972633362,0.41922125220298767
51_249,0.4101657271385193,0.47687047719955444,0.564254641532898
51_251,0.6674460172653198,0.689954400062561,0.8078169226646423
51_252,0.6431191563606262,0.6292785406112671,0.6830533146858215
51_260,0.7479760050773621,0.7604726552963257,0.6475246548652649
51_261,0.6323480010032654,0.6438286304473877,0.7188149690628052
51_271,0.6913427114486694,0.6737349629402161,0.5367448329925537
51_285,0.6431751251220703,0.6334367394447327,0.7472585439682007
51_288,0.6652241945266724,0.6698359251022339,0.6720144748687744
51_296,0.7425535917282104,0.7539256811141968,0.39732620120048523
51_299,0.6494094133377075,0.6563901901245117,0.8120337128639221
51_310,0.8332944512367249,0.7734853029251099,0.8478493690490723
51_311,0.8476549386978149,0.7569180727005005,0.6112163066864014
51_316,0.6528620719909668,0.6847256422042847,0.8737084865570068
51_317,0.7839914560317993,0.7633981704711914,0.8099610209465027
51_320,0.9111492037773132,0.8511214256286621,0.8114427328109741
51_322,0.687457799911499,0.6898742914199829,0.7166701555252075
52_3,0.8480134010314941,0.7966399192810059,0.6231657266616821
52_8,0.7144551277160645,0.6957249641418457,0.6656221151351929
52_11,0.771877110004425,0.7382683753967285,0.7048428058624268
52_12,0.6141315698623657,0.6493155360221863,0.4991389811038971
52_15,0.6730639934539795,0.6550027132034302,0.49275562167167664
52_18,0.6889340877532959,0.6992679834365845,0.7292579412460327
52_26,0.6326037049293518,0.637902021408081,0.6298237442970276
52_39,0.6067322492599487,0.6564987301826477,0.6219549179077148
52_41,0.6080074310302734,0.6368666887283325,0.4942300021648407
52_44,0.6464858055114746,0.6542835235595703,0.3437543511390686
52_52,0.6206978559494019,0.6559756398200989,0.4323400557041168
52_53,0.583115816116333,0.6463472247123718,0.5289324522018433
52_57,0.7276678085327148,0.7189614772796631,0.5998461246490479
52_64,0.7463881969451904,0.7427917718887329,0.5720481872558594
52_65,0.8464198112487793,0.7947745323181152,0.49076786637306213
52_71,0.6088703870773315,0.6113649010658264,0.4582192003726959
52_74,0.5310985445976257,0.5608553290367126,0.2809387445449829
52_92,0.5370045304298401,0.5963101387023926,0.5111249089241028
52_94,0.6139942407608032,0.6159173846244812,0.6131881475448608
52_98,0.5398286581039429,0.5597066879272461,0.6169053912162781
52_99,0.6388528347015381,0.6633281111717224,0.6510686874389648
52_103,0.7307066917419434,0.7200000286102295,0.49717602133750916
52_104,0.7152078151702881,0.6834911704063416,0.6738367676734924
52_113,0.3990764021873474,0.44821423292160034,0.5686562657356262
52_129,0.73642498254776,0.7147248387336731,0.8238149285316467
52_130,0.8135887980461121,0.7760701775550842,0.8108288049697876
52_139,0.6465901136398315,0.6583096385002136,0.9123207926750183
52_140,0.7224825620651245,0.7125857472419739,0.7548221349716187
52_141,0.6595760583877563,0.6798557639122009,0.5911668539047241
52_143,0.7112714648246765,0.7008646130561829,0.6763023138046265
52_153,0.8124077320098877,0.7744457721710205,0.9001761674880981
52_154,0.7919507026672363,0.7687993049621582,0.9391769170761108
52_161,0.7369275093078613,0.7327585816383362,0.6887121200561523
52_166,0.5892714858055115,0.6024912595748901,0.4438122808933258
52_167,0.7513173818588257,0.7118105888366699,0.7384978532791138
52_169,0.6840085983276367,0.7397583723068237,0.22910723090171814
52_172,0.761056661605835,0.7622307538986206,0.21809254586696625
52_173,0.7679011821746826,0.7781339883804321,0.6579195261001587
52_177,0.8601802587509155,0.8026666641235352,0.6605284214019775
52_180,0.6632969379425049,0.6441682577133179,0.6895093321800232
52_182,0.6652731895446777,0.6629675626754761,0.7292487621307373
52_189,0.6782752871513367,0.658901035785675,0.6184043884277344
52_192,0.7588871717453003,0.7305498719215393,0.48871102929115295
52_199,0.6100797653198242,0.6008849740028381,0.4937576949596405
52_210,0.8791902661323547,0.8408850431442261,0.30699339509010315
52_216,0.5714810490608215,0.6348825693130493,0.5496400594711304
52_218,0.6724721193313599,0.6698049306869507,0.4470966160297394
52_221,0.5474932193756104,0.5751876831054688,0.6155629754066467
52_224,0.5898399353027344,0.6258336305618286,0.7154204249382019
52_227,0.7518807649612427,0.7115628719329834,0.8211938142776489
52_231,0.8316794037818909,0.7990545034408569,0.5273458957672119
52_232,0.7674177885055542,0.7593151330947876,0.3540530502796173
52_234,0.7103463411331177,0.7073943018913269,0.45384660363197327
52_235,0.7376530170440674,0.696204662322998,0.5550951957702637
52_242,0.7941732406616211,0.759555995464325,0.6199793219566345
52_249,0.6090198755264282,0.6455696821212769,0.7240288257598877
52_251,0.7309470772743225,0.7230164408683777,0.5675501823425293
52_259,0.5737519264221191,0.5702333450317383,0.7108310461044312
52_260,0.6057394742965698,0.601469874382019,0.6619816422462463
52_263,0.4754493236541748,0.5118962526321411,0.6344003677368164
52_264,0.6104651689529419,0.6167497634887695,0.6842716932296753
52_265,0.7168813943862915,0.6745966672897339,0.7728553414344788
52_266,0.693315863609314,0.6329718828201294,0.7127465009689331
52_267,0.6133543252944946,0.6197110414505005,0.6258421540260315
52_270,0.6973752379417419,0.6617726683616638,0.8485383987426758
52_271,0.5863080024719238,0.5946590304374695,0.45858529210090637
52_274,0.7295340895652771,0.6974113583564758,0.7173455953598022
52_275,0.6617799997329712,0.6776344776153564,0.7287886142730713
52_276,0.6170192956924438,0.6357446312904358,0.42604395747184753
52_280,0.6061054468154907,0.6403024196624756,0.7077795267105103
52_281,0.5660877227783203,0.5865700840950012,0.6308600902557373
52_282,0.5400169491767883,0.5485206842422485,0.400452584028244
52_283,0.6440340280532837,0.6411821246147156,0.8001247048377991
52_288,0.6017009615898132,0.6056433916091919,0.6161929368972778
52_291,0.7226724624633789,0.7103216648101807,0.7434867024421692
52_293,0.7425215244293213,0.7120944261550903,0.6735211610794067
52_297,0.622381329536438,0.6209684014320374,0.6516153812408447
52_300,0.6864684820175171,0.7010531425476074,0.4818843603134155
52_301,0.7683283090591431,0.7810099720954895,0.7030925750732422
52_302,0.5646964907646179,0.599636971950531,0.6225230097770691
52_308,0.5586951375007629,0.6161648035049438,0.5948735475540161
52_314,0.7944671511650085,0.7999968528747559,0.244666188955307
52_318,0.7454342842102051,0.7314693927764893,0.3998875617980957
52_321,0.6963444948196411,0.7031559944152832,0.3964146077632904
52_324,0.7969603538513184,0.7576884627342224,0.3770683705806732
52_325,0.7492520809173584,0.7253394722938538,0.8036994934082031
52_330,0.564753532409668,0.560537576675415,0.6518048644065857
52_334,0.7351105213165283,0.7331973314285278,0.4837460517883301
52_336,0.7347474098205566,0.724190890789032,0.31337717175483704
52_340,0.6928523778915405,0.7119890451431274,0.46996447443962097
52_342,0.6550493240356445,0.6759715676307678,0.4872688949108124
52_343,0.7133338451385498,0.666867733001709,0.6541640758514404
52_347,0.6618599891662598,0.6700199842453003,0.44810017943382263
52_351,0.5834957361221313,0.5800338983535767,0.5084871649742126
52_359,0.5140968561172485,0.5267338752746582,0.3454875349998474
52_370,0.6802979111671448,0.7229081988334656,0.2748086750507355
52_371,0.6042128801345825,0.6327340602874756,0.37972238659858704
52_376,0.7544428110122681,0.7429921627044678,0.8967407941818237
52_379,0.7940371036529541,0.7549936771392822,0.8223764896392822
52_382,0.6564635038375854,0.6576088666915894,0.8816851377487183
52_383,0.6634621024131775,0.6753110885620117,0.7028303146362305
53_0,0.4294328987598419,0.5131157636642456,0.5323137044906616
53_2,0.6792430281639099,0.6843992471694946,0.3616601526737213
53_7,0.897796630859375,0.7972220182418823,0.7775914072990417
53_11,0.7256313562393188,0.7088608741760254,0.76216721534729
53_12,0.5725662112236023,0.6026662588119507,0.8221031427383423
53_18,0.5839688777923584,0.6275874376296997,0.6166430711746216
53_20,0.5295644998550415,0.6022337079048157,0.5123658776283264
53_23,0.7084270715713501,0.715680718421936,0.5969860553741455
53_24,0.6243212819099426,0.6443499326705933,0.46635499596595764
53_27,0.6748353242874146,0.6793395280838013,0.786574125289917
60_144,0.568257212638855,0.5696905851364136,0.5128942728042603
73_251,0.7212976813316345,0.7018763422966003,0.6567125916481018
63_174,0.8088769912719727,0.7425346374511719,0.5937259197235107
72_45,0.546506941318512,0.5826764106750488,0.4698374569416046
57_228,0.7612403631210327,0.7372553944587708,0.7203277945518494
62_94,0.7269006967544556,0.6640979051589966,0.8160288333892822
60_291,0.704363226890564,0.6935856342315674,0.6508550047874451
71_65,0.6325766444206238,0.6833727955818176,0.5445013642311096
63_228,0.5584961175918579,0.6061335802078247,0.7719208002090454
60_93,0.5529324412345886,0.573753297328949,0.7140852212905884
58_54,0.8033558130264282,0.7780255079269409,0.7697292566299438
53_84,0.751987874507904,0.73015958070755,0.8512340188026428
63_357,0.7836704254150391,0.7569466829299927,0.6194215416908264
70_13,0.6412698030471802,0.6825041770935059,0.8064944744110107
73_286,0.8251538276672363,0.7696534395217896,0.29632675647735596
60_83,0.7752772569656372,0.7358707189559937,0.6368459463119507
62_346,0.5844531059265137,0.6266555190086365,0.6635986566543579
62_317,0.7110887765884399,0.7067927718162537,0.420438677072525
71_301,0.46643057465553284,0.5560338497161865,0.482986718416214
77_365,0.7113051414489746,0.7127108573913574,0.7430135011672974
64_301,0.7061415314674377,0.6948847770690918,0.8217514157295227
70_79,0.6838747262954712,0.6899904012680054,0.8876160383224487
69_265,0.4910391569137573,0.5816283822059631,0.27511975169181824
72_42,0.6611045598983765,0.6886277198791504,0.6891919374465942
55_270,0.6145671606063843,0.6316744685173035,0.7056530117988586
