nid,direct_ironic,friendly_hostile,quadrant,f0_mean,f0_std,f0_range,jitter_local,shimmer_local,hnr_mean,voiced_ratio,speaking_rate_proxy,energy_std,dissonance_mean,dissonance_std,inharmonicity_mean,inharmonicity_std,major_fit,minor_fit,wholetone_fit,majorness,tonal_clarity,melodic_path_length,direction_change_rate,contour_slope,final_initial_diff,mean_interval_size,interval_std,num_notes_per_sec,direction_entropy,npvi_voiced,rpvi_pause,rpvi_pause_filtered,stress_contrast,ioi_cv,ioi_npvi,pitch_stress_contrast,audio_arousal_wav2vec,audio_dominance_wav2vec,audio_valence_wav2vec,episode
51_1,1,0,Q1_praise,199.86821046462043,40.65159219677878,476.8486629565525,0.019115676029086,0.1346587268062589,10.89910204526731,0.6921995783555868,6.38101992011601,12.178559457482487,50.979479954148935,92.83879278180328,0.1013428880840685,0.0560293789748976,0.1037966607365329,0.2285749661697583,0.0075621948614187,-0.1247783054332253,0.1473583069832127,16.830642644649355,8.134047370697331,0.1536935805589895,-1.8665425474144524,2.0897470498568973,2.542016031548408,1.4024219604650572,0.9494520153879484,87.77942634400527,0.0995555555555555,0.0905882352941176,4.983878744520957,0.5374904411276195,43.74927164945075,2.3006234130259795,0.6744624376296997,0.663475751876831,0.3919291496276855,51
51_6,-1,0,Q4_humor,168.0247583304632,66.46210185792316,481.43046782345175,0.0196218564858204,0.1469328169402898,9.61165647827423,0.8896103896103896,6.663839494618624,7.730552021387461,265.6378964257354,305.3734199274033,0.1174457441197907,0.0660035885906502,0.4742524252107568,0.469468353375409,0.0211006155139319,0.0047840718353478,0.0469349129001974,31.566318226770072,7.953614880673841,-2.516185331413431,-8.351788887841533,4.049632983259399,3.837827902600787,1.2897753860552177,0.9709505944546686,68.68538668538669,0.024,,2.8795357710793783,0.3416794578308862,26.02233043571871,3.7084133592004735,0.6852847337722778,0.6487141251564026,0.6076239347457886,51
51_33,-1,0,Q4_humor,108.31693663096202,29.23114331504616,136.1664337592382,0.0244705071598206,0.158599373212995,7.086698722625546,0.7586912065439673,6.296924083166748,6.437928066762834,150.49114756500882,192.4081303880897,0.1614967778002261,0.0621405473580501,0.292737267665648,0.4100096394185457,0.053809550329578,-0.1172723717528976,0.111433539720496,21.968621448563976,10.35945574972594,-0.4947633292095497,1.7087292831582772,1.7869424446661717,2.3671380073922084,1.4218860832957174,0.9182958340544896,79.82569206401973,0.072,0.11,4.879995018258594,0.4968513901273085,44.73898530421523,2.1550250534099886,0.7154728174209595,0.7542123198509216,0.9897868633270264,51
51_45,1,0,Q1_praise,152.03914457131447,63.11014042426893,504.6179264926433,0.0254376216228767,0.1530625983409094,7.977060721337855,0.7778753292361721,6.479859894921191,8.913796259319554,193.473434821129,292.0399386536244,0.1450707275662166,0.0732364382455665,0.1991805286262865,0.4210230707416746,0.0745183516275822,-0.2218425421153881,0.025216130145154,31.97220552851021,9.457092819614711,-0.0036395755877794,0.4493423265382645,4.357224778610756,6.515387029461683,0.6129597197898424,0.9182958340544896,70.86373818068351,0.0889655172413793,0.1066666666666666,3.754300468671533,0.4986919543141605,44.46399944880838,4.462706197452929,0.6959084272384644,0.6521214246749878,0.6476422548294067,51
51_52,1,0,Q1_praise,166.0488086771921,45.12173184302517,506.08723845703776,0.0179181381736646,0.1328367285086359,9.347753469711064,0.6614100185528757,6.1026288311786345,10.809836155828382,59.96720406487131,88.66244866549286,0.1124227320292195,0.0555736278112749,0.2805171834567319,0.4300139342274741,0.0263438455952316,-0.1494967507707421,0.1690004946020032,16.150057929687225,6.934805489975721,0.0724925475872045,4.789252086555905,1.3654415396919182,1.6807127871535417,1.664353317594173,0.9975025463691152,84.74115404135418,0.074,0.1066666666666666,4.624461954047982,0.5466937555252166,45.889316653495605,2.0096332730585806,0.7019199132919312,0.6639456748962402,0.5983227491378784,51
51_58,-1,0,Q4_humor,113.6935733359702,25.47033274472464,94.22213723346634,0.0180591758201489,0.1620966562935817,8.235521313723483,0.8770226537216829,6.722073020251143,6.7888658043137005,144.30328761868813,141.61217263128614,0.1543189853824484,0.0612699682024705,0.2770794016478262,0.4231586268822038,0.0783023260051415,-0.1460792252343776,0.1417185313908314,21.235874185435275,9.28286274225158,-1.8913510330831516,-11.35714323245099,1.9648810481510697,2.913510303162877,2.560789722000435,0.5916727785823275,108.7492388259652,0.0366666666666666,,3.872857673546868,0.2867541446199412,36.37448738830615,1.7537012149579605,0.5446131825447083,0.5731564164161682,0.6795178055763245,51
51_68,1,0,Q1_praise,197.8851924663272,57.894959444329565,498.95286687764,0.0187526250704056,0.1243057314888353,10.486132029181292,0.7326994189117803,6.538348410608854,10.832589868355823,55.11484944914926,88.55345667895499,0.1020208293150575,0.0563071911188012,0.4385039927126342,0.3295773412800314,0.2929754434226058,0.1089266514326027,0.034524623002503,22.37020438521347,7.540192118686017,-0.1680886026403582,-6.09079364879692,2.796233204909837,3.76828116816174,1.107300940506338,0.9709505944546686,63.89073625873064,0.0677551020408163,0.0772727272727272,4.724655761675965,0.5932824202978725,44.26630742696157,2.425803663855893,0.6302515268325806,0.6438482999801636,0.3964300453662872,51
51_69,-1,-1,Q3_bite,222.44846729344115,70.54428142877062,381.6196796734348,0.0208677979234598,0.1083509254684341,10.008536771346062,0.7101449275362319,6.318216155669592,9.376741160110274,114.06064842310116,165.23037673681904,0.1082526210588426,0.0647696630255181,0.3498689827191691,0.3615263682760359,0.3039777361349156,-0.0116573855568667,0.0325664137997564,25.96258947034389,5.743832868790538,-1.765151341224749,-1.6053065795526464,6.45241561226165,0.0,0.5743832868790538,-0.0,77.12323188295727,0.0616666666666666,0.0733333333333333,4.032552450835789,0.4026009190252799,44.20351678747122,3.8460403011687223,0.6272698640823364,0.6246424317359924,0.6052542328834534,51
51_74,1,0,Q1_praise,193.070989637319,49.13511275942245,492.127115918143,0.0203821084250135,0.1332186212454436,10.551982105975878,0.752755905511811,7.225311027450198,9.908899160313451,27.15580775953381,41.71587021277877,0.1017680763222293,0.0561493713984707,0.1973840476808343,0.3379442517478728,0.0833658306018438,-0.1405602040670385,0.1036005261043981,22.527744081272036,8.874566805455135,-0.0581930178897824,-24.946809574545803,1.0457547927962687,1.3588048524697507,0.7068239048592585,0.954434002924965,82.78400682630516,0.0702439024390243,0.0666666666666666,3.6717955561669218,0.4610467621558973,42.473783124552575,2.315153028433364,0.6775861978530884,0.6988309621810913,0.3607706129550934,51
51_87,1,0,Q1_praise,212.55647029411827,53.21745430924239,453.3607792298396,0.0187263223333224,0.1124551139825741,12.051528454585032,0.724172517552658,6.298714548051418,9.43584789387228,42.5463415191752,67.07262006327787,0.0925366366531415,0.0573275037487534,0.1483930073608054,0.1976457125529173,0.1424346581112054,-0.0492527051921119,0.0405843407236793,17.86285506664268,8.59824525607019,-0.1999553296719662,-12.994791527255543,3.2436928472574262,4.354198000943166,0.8998163640073454,1.0,90.7191302475088,0.1182608695652174,0.2228571428571428,5.131111673003264,0.5328591366646226,46.727508934382286,1.581999415470542,0.6384196281433105,0.6284753680229187,0.5371715426445007,51
