nid,valence,arousal,dominance
51_1,0.5869130434782609,0.39443478260869563,0.511695652173913
51_2,0.7185714285714286,0.34614285714285714,0.5152857142857142
51_5,0.798,0.41900000000000004,0.5285
51_6,0.7041999999999999,0.5077999999999999,0.495
51_15,0.5245,0.46599999999999997,0.46449999999999997
51_19,0.6551,0.418,0.497
51_24,0.5831000000000001,0.4856,0.5256000000000001
51_25,0.724,0.27,0.793
51_28,0.5981666666666666,0.43533333333333335,0.5275
51_29,0.7029333333333334,0.46986666666666665,0.5364666666666668
51_30,0.60375,0.40725,0.525375
51_31,0.8326666666666666,0.36766666666666664,0.44366666666666665
51_33,0.8535,0.5505,0.7655000000000001
51_35,0.6723333333333333,0.433,0.5542380952380952
51_36,0.7136666666666667,0.40199999999999997,0.758
51_45,0.6519333333333334,0.4446,0.5401333333333334
51_48,0.7142000000000001,0.5636,0.5646
51_51,,,
51_52,0.6750666666666666,0.3469333333333333,0.5225333333333333
51_56,0.6755555555555556,0.4664444444444445,0.5694444444444444
51_58,0.6806666666666666,0.37966666666666665,0.5299999999999999
51_59,0.7405714285714285,0.411,0.5729285714285715
51_61,0.5965,0.434,0.45683333333333337
51_66,0.7107083333333333,0.4831666666666667,0.5634583333333333
51_68,0.6191599999999999,0.38520000000000004,0.5473600000000001
51_69,0.823,0.5395,0.5885
51_74,0.6010909090909091,0.5467272727272727,0.587
51_75,,,
51_77,0.6681428571428573,0.46485714285714286,0.6194285714285714
51_79,0.52325,0.596,0.61625
51_80,0.437,0.4064,0.47700000000000004
51_87,0.6302777777777778,0.4167222222222222,0.519888888888889
51_88,0.5924871794871794,0.4470769230769231,0.5176410256410257
51_89,0.5787142857142857,0.48464285714285715,0.5477142857142857
51_93,0.6124999999999999,0.547625,0.5542083333333333
51_96,0.605111111111111,0.44788888888888884,0.5547777777777778
51_102,0.6688,0.4606,0.4196
51_106,0.5561851851851851,0.4245185185185185,0.4720740740740741
51_114,0.6363333333333334,0.4391111111111111,0.5244444444444444
51_118,0.7123333333333334,0.48500000000000004,0.624
51_119,0.6777727272727273,0.4463181818181818,0.5788636363636364
51_120,0.6658000000000001,0.5142,0.5118
51_122,0.7025714285714286,0.5286428571428571,0.5164285714285715
51_123,0.6061428571428572,0.4055714285714286,0.44042857142857145
51_124,0.7475,0.3825,0.5315000000000001
51_125,0.7198333333333333,0.5763333333333334,0.5555
51_128,0.8013999999999999,0.5307999999999999,0.5528000000000001
51_129,0.7539090909090909,0.4954545454545455,0.5254545454545455
51_136,0.5105,0.3625,0.388
51_143,0.6311538461538462,0.42615384615384616,0.572
51_148,0.6499375000000001,0.4645,0.539125
51_156,0.7185714285714286,0.34614285714285714,0.5152857142857142
51_157,0.71,0.4822,0.573
51_159,0.6077777777777778,0.540888888888889,0.5558888888888889
51_164,0.62575,0.436875,0.474625
51_170,0.7032857142857143,0.42614285714285716,0.6622857142857143
51_172,0.6084705882352941,0.38476470588235295,0.4603529411764706
51_173,0.7491666666666666,0.314,0.48183333333333334
51_177,0.5910000000000001,0.5323333333333333,0.5903333333333333
51_184,0.648,0.35550000000000004,0.431
51_185,0.5400666666666666,0.39793333333333336,0.4208
51_200,,,
51_214,0.706,0.415,0.5767777777777777
51_215,0.5694285714285714,0.5298571428571429,0.49714285714285716
51_216,0.635,0.40399999999999997,0.35
51_218,0.74,0.594,0.667
51_221,0.5966666666666667,0.36775,0.42983333333333335
51_227,0.7276363636363636,0.4534545454545454,0.5268181818181819
51_241,0.566,0.5559999999999999,0.5796666666666667
51_242,0.6723333333333333,0.46058333333333334,0.5365
51_243,0.6626363636363636,0.3696363636363636,0.513909090909091
51_246,0.5575,0.572625,0.547125
51_248,0.6905555555555556,0.47700000000000004,0.6467777777777778
51_249,0.653,0.4566,0.528
51_251,0.7203478260869566,0.431,0.556304347826087
51_252,,,
51_260,0.7658461538461538,0.4970769230769231,0.6175384615384616
51_261,,,
51_271,0.648,0.5835,0.5885
51_285,,,
51_288,0.639888888888889,0.5186666666666667,0.5613333333333334
51_296,0.5989166666666667,0.42358333333333337,0.5032083333333334
51_299,0.6895,0.46225,0.46425
51_310,0.224,0.167,0.264
51_311,0.7004375,0.4783125,0.5448125
51_316,0.7162857142857143,0.4572857142857143,0.5737142857142857
51_317,0.7080000000000001,0.6376666666666667,0.6693333333333333
51_320,0.397,0.781,0.298
51_322,0.621375,0.457375,0.55025
52_3,0.608,0.44883333333333336,0.5473333333333333
52_8,0.6496999999999999,0.3726,0.4338
52_11,0.6722857142857144,0.3875,0.5048571428571429
52_12,0.6193846153846153,0.4707692307692308,0.5065384615384615
52_15,0.47550000000000003,0.3715,0.44275
52_18,,,
52_26,0.5516153846153846,0.4543846153846154,0.4572307692307692
52_39,0.6983333333333334,0.37777777777777777,0.5413333333333333
52_41,0.5824444444444444,0.3858888888888889,0.4991111111111111
52_44,0.6378,0.47273333333333334,0.5472
52_52,0.6654761904761904,0.4066666666666666,0.5495238095238095
52_53,0.6746666666666666,0.4653333333333333,0.6175
52_57,0.6536875,0.4274375,0.5134375
52_64,0.698,0.61,0.613
52_65,0.44371428571428567,0.489,0.43714285714285717
52_71,0.6258,0.45919999999999994,0.535
52_74,0.6835,0.43737499999999996,0.531
52_92,0.5236666666666666,0.3758333333333333,0.4566666666666667
52_94,0.6161538461538462,0.45684615384615385,0.4880769230769231
52_98,0.6990000000000001,0.4,0.614
52_99,0.5612,0.534,0.6359999999999999
52_103,0.56525,0.301,0.43
52_104,0.562,0.39675,0.4873125
52_113,0.6775000000000001,0.33416666666666667,0.5695
52_129,0.6829999999999999,0.42390909090909096,0.606
52_130,0.5960000000000001,0.5055000000000001,0.534
52_139,0.97,0.587,0.87
52_140,0.6381578947368421,0.33757894736842103,0.4431578947368421
52_141,0.5406666666666666,0.3795555555555556,0.44266666666666665
52_143,0.6481034482758621,0.42982758620689654,0.5189310344827586
52_153,0.7732857142857144,0.44899999999999995,0.533
52_154,0.653,0.35,0.537
52_161,0.7055,0.479,0.5155000000000001
52_166,0.5157272727272727,0.44472727272727275,0.44790909090909087
52_167,0.609,0.3615,0.368
52_169,0.4625333333333333,0.45,0.4076
52_172,0.49925,0.52225,0.46075
52_173,,,
52_177,0.608,0.44883333333333336,0.5473333333333333
52_180,0.51,0.441,0.444
52_182,0.605,0.32583333333333336,0.4851666666666667
52_189,0.5144,0.3906,0.3802
52_192,0.5330416666666666,0.42054166666666665,0.44554166666666667
52_199,0.5826250000000001,0.335125,0.473125
52_210,0.6333333333333333,0.4554761904761905,0.5298571428571429
52_216,0.623,0.43285714285714283,0.4358571428571429
52_218,0.6355625,0.3636875,0.492125
52_221,0.6664285714285715,0.4534285714285714,0.5302857142857144
52_224,0.731,0.45021428571428573,0.5286428571428571
52_227,0.72,0.308,0.595
52_231,0.5784444444444445,0.3983888888888889,0.4816666666666667
52_232,0.5365714285714286,0.4468571428571429,0.47528571428571426
52_234,0.44,0.467,0.62
52_235,0.59,0.4095,0.665
52_242,0.5389999999999999,0.5038,0.4788
52_249,0.6624375,0.4933125,0.5584375
52_251,0.4266666666666667,0.3873333333333333,0.37800000000000006
52_259,,,
52_260,0.41,0.5313333333333333,0.4036666666666666
52_263,0.6265555555555555,0.32866666666666666,0.40444444444444444
52_264,0.354,0.314,0.226
52_265,0.7245,0.415,0.597
52_266,0.602125,0.41000000000000003,0.497375
52_267,0.7124999999999999,0.4958333333333333,0.5748888888888889
52_270,0.594,0.3495,0.41800000000000004
52_271,0.7005,0.5625,0.6271666666666667
52_274,0.6379230769230768,0.4205384615384615,0.5286153846153846
52_275,0.772,0.5453749999999999,0.592625
