id,valence,arousal,dominance
1_60,0.68675,0.48875,0.65525
1_70,0.6484,0.3932,0.6134000000000001
1_80,0.68275,0.417,0.46875
1_90,0.5597619047619048,0.4109047619047619,0.4655714285714285
1_105,0.5892857142857143,0.32157142857142856,0.38885714285714285
1_162,0.441,0.337,0.543
1_175,0.5392,0.4968,0.5514
1_182,0.418,0.40275,0.40549999999999997
1_213,0.67136,0.43596,0.57816
1_276,0.576,0.5511999999999999,0.5429999999999999
1_340,0.5866,0.4234,0.5448000000000001
1_410,0.80625,0.4305,0.53425
1_427,0.605,0.359,0.38566666666666666
1_430,0.6015,0.291,0.3725
1_467,0.7178333333333334,0.39841666666666664,0.5377500000000001
1_506,0.5615,0.4385,0.593
1_507,0.5711428571428571,0.40228571428571425,0.4551428571428571
1_533,0.646,0.408,0.491
1_536,0.54175,0.325,0.45325000000000004
1_537,0.5710000000000001,0.4796666666666667,0.5613333333333334
1_672,0.6935714285714286,0.406,0.517
1_971,0.46525000000000005,0.41400000000000003,0.3875
1_1001,0.48066666666666663,0.39599999999999996,0.38233333333333336
1_1003,0.6663636363636364,0.4040909090909091,0.5506363636363637
1_1144,0.6003333333333333,0.3758333333333333,0.5835
1_1180,0.6527142857142857,0.36357142857142855,0.5650000000000001
1_1185,0.8026666666666666,0.40199999999999997,0.5803333333333334
1_1189,0.60675,0.48550000000000004,0.4895
1_1262,0.704,0.2485,0.4285
1_1296,0.5934444444444444,0.4284444444444444,0.4904444444444444
1_1466,0.617,0.49866666666666665,0.5513333333333333
1_1470,0.40875,0.40475,0.46749999999999997
1_1478,0.5512857142857143,0.44099999999999995,0.41085714285714287
1_1484,0.748,0.439,0.562
1_1549,0.6255000000000001,0.45825,0.4585
1_1560,0.6050000000000001,0.4816666666666667,0.5665
1_1627,0.5012857142857142,0.47100000000000003,0.4754285714285714
1_1638,0.5242857142857142,0.5502857142857143,0.6777142857142857
1_1666,0.49274999999999997,0.45375,0.5205
1_1678,0.6355,0.4265,0.59125
1_1722,0.8180000000000001,0.5675,0.49749999999999994
1_1732,0.495,0.46399999999999997,0.497
1_1772,0.8180000000000001,0.4215,0.514
1_1798,0.6031666666666667,0.41100000000000003,0.47583333333333333
1_1803,0.5861666666666666,0.3506666666666667,0.4315
1_1931,0.364,0.4365,0.32875
1_1973,0.7506666666666667,0.4326666666666667,0.568
1_1987,0.6795555555555555,0.43877777777777777,0.5916666666666667
1_2075,0.5848,0.4828,0.4758
1_2119,0.8453333333333334,0.49300000000000005,0.6483333333333333
1_2198,0.5945,0.354,0.4986
1_2216,0.37466666666666665,0.68,0.518
1_2354,0.41879999999999995,0.5588,0.42560000000000003
1_2361,0.841,0.4755,0.601
1_2420,0.6128,0.3654,0.5128
1_2423,0.839,0.322,0.6246666666666667
1_2464,0.743,0.40700000000000003,0.41559999999999997
1_2575,0.5426666666666667,0.5193333333333333,0.5453333333333333
1_2580,0.6834285714285714,0.48871428571428577,0.561
1_2614,0.7525,0.3385,0.5035000000000001
1_2616,0.4286666666666667,0.4306666666666667,0.5286666666666667
1_2664,0.6925,0.45025,0.55175
1_2669,0.5065,0.47850000000000004,0.514
1_2778,0.72925,0.41674999999999995,0.64175
1_2792,0.5958,0.4262,0.4958
1_2797,0.6506000000000001,0.3888,0.5189999999999999
1_2819,0.6923333333333334,0.5653333333333334,0.5586666666666666
1_2830,0.6336666666666667,0.38966666666666666,0.5085000000000001
1_2837,0.8136666666666666,0.5339999999999999,0.478
1_2842,0.7399999999999999,0.4303333333333333,0.524
1_2853,0.7,0.5005,0.601
1_3064,0.5775,0.505,0.54725
1_3069,0.41783333333333333,0.5356666666666666,0.4531666666666667
1_3125,0.7186666666666667,0.45716666666666667,0.5335
1_3177,0.7626,0.5094000000000001,0.5866
1_3204,0.7606666666666667,0.336,0.6176666666666667
1_3256,0.6124,0.426,0.5008
1_3259,0.6952,0.5678,0.6266
1_3287,0.6541666666666667,0.42083333333333334,0.5905
1_3293,0.6162,0.43200000000000005,0.47619999999999996
1_3333,0.4185,0.41700000000000004,0.469
1_3348,0.5571666666666667,0.537,0.5698333333333333
1_3371,0.48662500000000003,0.493625,0.455375
1_3419,0.7112,0.46319999999999995,0.4998
1_3476,0.7714000000000001,0.4824,0.5218
1_3545,0.6786,0.3704,0.5418000000000001
1_3573,0.571,0.5132,0.5686
1_3599,0.6323333333333333,0.3153333333333333,0.385
1_3649,0.6846666666666666,0.325,0.543
1_3660,0.67025,0.5297499999999999,0.439
1_3707,0.8285,0.5565,0.593
1_3766,0.7588333333333334,0.40850000000000003,0.6545
1_3837,0.5741428571428572,0.523,0.4414285714285714
1_3840,0.6301428571428572,0.3935,0.49785714285714283
1_3842,0.45366666666666666,0.39366666666666666,0.35200000000000004
1_3911,0.6744,0.409,0.5574
1_4031,0.673125,0.354375,0.630375
1_4145,0.627,0.46575,0.54675
1_4281,0.6315999999999999,0.3166,0.513
1_4286,0.6846,0.3936,0.5816
1_4290,0.7000000000000001,0.38166666666666665,0.5653333333333334
1_4352,0.5256666666666666,0.3706666666666667,0.457
1_4477,0.601,0.541,0.5285
1_4544,0.5906,0.4358000000000001,0.47640000000000005
1_4552,0.5335,0.37225,0.497875
1_4576,0.5211428571428571,0.3692857142857143,0.4551428571428571
1_4603,0.6271666666666667,0.3905,0.4988333333333333
1_4639,0.7414999999999999,0.524,0.617
1_4743,0.6615,0.43479999999999996,0.5911
1_4760,0.53925,0.307,0.42625
1_4789,0.7444999999999999,0.3155,0.7484999999999999
