nid,audio_arousal_wav2vec,audio_dominance_wav2vec,audio_valence_wav2vec,valence,arousal,dominance,episode,sarcasm,audio_arousal_z,audio_valence_z,audio_dominance_z,text_arousal_z,text_valence_z,text_dominance_z,gap_arousal,gap_valence,gap_dominance,gap_total
51_1,0.6744624376296997,0.663475751876831,0.3919291496276855,0.5869130434782609,0.3944347826086956,0.511695652173913,51,1,-0.13831094472798344,-1.4167945933047228,-0.3362042001132422,-0.549783378160651,-0.4886038991366769,-0.15760044313707983,0.4114724334326676,0.9281906941680459,0.17860375697616238,1.0308961296954995
51_2,0.7970471382141113,0.7435157299041748,0.6108695864677429,0.7185714285714286,0.3461428571428571,0.5152857142857142,51,0,1.1474586864843268,-0.07240720360763772,0.7904841489649178,-1.172697594916393,0.8595862266528834,-0.1136832998560811,2.3201562814007195,0.9319934302605212,0.9041674488209989,2.658807194905163
51_5,0.6950296759605408,0.6739391088485718,0.739434540271759,0.798,0.419,0.5285,51,0,0.07741524555211118,0.7170362868032871,-0.18891602384364603,-0.23291833285274544,1.6729397827502976,0.047966738777699185,0.31033357840485665,0.9559034959470105,0.23688276262134522,1.0325559871873293
51_6,0.6852847337722778,0.6487141251564026,0.6076239347457886,0.7041999999999999,0.5077999999999999,0.495,51,1,-0.024797760343842026,-0.09233688543946697,-0.5439972711416445,0.9125067442036516,0.7124218961791413,-0.3618379537587483,0.9373045045474937,0.8047587816186083,0.18215931738289626,1.2487427468244578
51_15,0.4987565875053406,0.5390939116477966,0.5150490403175354,0.5245,0.4659999999999999,0.4644999999999999,51,0,-1.981259086210586,-0.660786106004427,-2.0870738739539685,0.3733314264000769,-1.127717381185854,-0.7349437186053659,2.354590512610663,0.4669312751814271,1.3521301553486027,2.7550639293529535
51_19,0.7171989679336548,0.7159121632575989,0.7896970510482788,0.6551,0.418,0.497,51,0,0.30994509820595534,1.0256694778105317,0.4019206123398227,-0.24581726390067785,0.20963481482899585,-0.33737200196552747,0.5557623621066332,0.8160346629815359,0.7392926143053502,1.2334252891392217
51_24,0.6192419528961182,0.6283048391342163,0.5060009956359863,0.5831000000000001,0.4856,0.5256000000000001,51,0,-0.7175090171854114,-0.7163449481573573,-0.8312900133553589,0.6261504749395529,-0.5276497036477965,0.012491108677530274,1.3436594921249643,0.18869524450956077,0.8437811220328891,1.5978089084671927
51_25,0.6924378871917725,0.6848105192184448,0.9162688851356506,0.724,0.27,0.793,51,0,0.05023042335560287,1.8028743655590773,-0.03588385537404727,-2.154859058994674,0.9151751387602598,3.2835888634311456,2.205089482350277,0.8876992267988175,3.319472718805193,4.082808919521335
51_28,0.6475582122802734,0.6628029942512512,0.8710570335388184,0.5981666666666666,0.4353333333333333,0.5275,51,0,-0.4205046910981862,1.5252543697789438,-0.34567431988558067,-0.022235792403183033,-0.3733660914480243,0.035733762881088794,0.3982688986950032,1.8986204612269681,0.3814080827666695,1.9770811559106982
51_29,0.7163134813308716,0.7098907232284546,0.708128809928894,0.7029333333333334,0.4698666666666666,0.5364666666666668,51,0,0.3006573830402279,0.5248057892961,0.3171593906014554,0.4232072931187491,0.6994511500207548,0.14542278008736337,0.12254991007852123,0.17464536072465475,0.17173661051409206,0.2738849135563465
51_30,0.6876850724220276,0.6566035747528076,0.4015434682369232,0.60375,0.40725,0.525375,51,0,0.00037897480956473634,-1.3577585884198344,-0.4329408820722692,-0.384480772665951,-0.3161924077235503,0.009738689100792562,0.3848597474755157,1.0415661806962841,0.4426795711730618,1.1953837612796687
51_31,0.5848477482795715,0.5999013185501099,0.7502843141555786,0.8326666666666666,0.3676666666666666,0.4436666666666666,51,0,-1.0782638550634547,0.7836585124688343,-1.2311141575346805,-0.8950634599799433,2.027928624979863,-0.989797383118082,0.18320039508351138,1.2442701125110287,0.2413167744165985,1.2806265198182467
51_33,0.7154728174209595,0.7542123198509216,0.9897868633270264,0.8535,0.5505,0.7655000000000001,51,1,0.29183980531423026,2.254306016208034,0.9410554455206095,1.4632910999503665,2.2412632657428255,2.9471820262743607,1.1714512946361362,0.013042750465208641,2.006126580753751,2.3231470265678653
51_35,0.6159182786941528,0.6440725922584534,0.8166431188583374,0.6723333333333333,0.433,0.5542380952380952,51,0,-0.7523704585607005,1.1911297933584972,-0.609334133630485,-0.05233329818169154,0.386105229668117,0.36282023744998054,0.700037160379009,0.8050245636903802,0.9721543710804657,1.4433297250688246
51_36,0.8487241864204407,0.7662441730499268,0.8196135759353638,0.7136666666666667,0.4019999999999999,0.758,51,0,1.6894902687097049,1.2093696630400768,1.1104226686413696,-0.4522001606675973,0.8093611569418314,2.855434707049782,2.1416904293773023,0.40000850609824534,1.7450120384084125,2.791399597769471
51_45,0.6959084272384644,0.6521214246749878,0.6476422548294067,0.6519333333333334,0.4446,0.5401333333333334,51,1,0.08663231506532605,0.15339261822723335,-0.4960341811455668,0.0972943019743244,0.17720794943302595,0.19027702504160057,0.010661986908998347,0.0238153312057926,0.6863112061871673,0.6868070469232053
51_48,0.6216639876365662,0.6588445901870728,0.7730140686035156,0.7142000000000001,0.5636,0.5646,51,0,-0.6921047155053268,0.9232288709268336,-0.40139507156457166,1.632267096678281,0.8148225237453638,0.4895771686453342,2.3243718121836077,0.1084063471814698,0.8909722402099058,2.4916435921310245
51_52,0.7019199132919312,0.6639456748962402,0.5983227491378784,0.6750666666666666,0.3469333333333333,0.5225333333333333,51,1,0.14968574807250223,-0.14945012053199247,-0.32958929586188074,-1.1625012970404076,0.41409473453621665,-0.025023350738742862,1.3121870451129098,0.5635448550682092,0.3045659451231379,1.46019795232179
51_56,0.6462076902389526,0.6668345928192139,0.603739321231842,0.6755555555555556,0.4664444444444445,0.5694444444444444,51,0,-0.4346700822011112,-0.11619006440161428,-0.2889232406545004,0.3790642846436042,0.4191009874394551,0.5488391407666909,0.8137343668447155,0.5352910518410694,0.8377623814211914,1.2847357462489297
51_58,0.5446131825447083,0.5731564164161682,0.6795178055763245,0.6806666666666666,0.3796666666666666,0.5299999999999999,51,1,-1.5002772262286417,0.34912205533944285,-1.6075906430886047,-0.7402762874047542,0.4714390859733011,0.0663162026226141,0.7600009388238875,0.12231703063385824,1.6739068457112187,1.8424242212680433
51_59,0.5854384303092957,0.6095110177993774,0.8936247229576111,0.7405714285714285,0.411,0.5729285714285715,51,0,-1.0720682938563761,1.6638295800375646,-1.0958425539043537,-0.3361097812362048,1.0848676072985692,0.5914603821842468,0.7359585126201713,0.5789619727389954,1.6873029360886005,1.929720989238894
51_61,0.6692821979522705,0.6421291828155518,0.6345736980438232,0.5965,0.434,0.4568333333333333,51,0,-0.19264557888612657,0.0731461219762299,-0.6366906725847773,-0.03943436713375911,-0.3904328627090604,-0.8287298671460447,0.15321121175236746,0.4635789846852903,0.1920391945612674,0.5246505529361555
51_66,0.7856805324554443,0.756553590297699,0.5801085233688354,0.7107083333333333,0.4831666666666667,0.5634583333333333,51,0,1.0282363330847424,-0.26129321260952193,0.974012502724247,0.5947630760562513,0.7790676379534903,0.47561118783003686,0.43347325702849104,1.0403608505630122,0.49840131489421013,1.232336656369257
51_68,0.6302515268325806,0.6438482999801636,0.3964300453662872,0.6191599999999999,0.3852,0.5473600000000001,51,1,-0.6020315085517602,-1.3891571794005118,-0.6124913995738986,-0.6689022022728608,-0.1583930406440041,0.2786806641877722,0.06687069372110055,1.2307641387565076,0.8911720637616709,1.520999573358594
51_69,0.6272698640823364,0.6246424317359924,0.6052542328834534,0.823,0.5395,0.5885,51,1,-0.6333056512180467,-0.10688786262324078,-0.8828441472626273,1.32140285842311,1.9289413516658498,0.7819452925743227,1.9547085096411565,2.0358292142890906,1.6647894398369498,3.2767376804390542
51_74,0.6775861978530884,0.6988309621810913,0.3607706129550934,0.6010909090909091,0.5467272727272727,0.587,51,1,-0.10554636634851083,-1.6081212590802565,0.16147589064602433,1.4146269509968035,-0.34342166550820435,0.7635958287294065,1.5201733173453142,1.2646995935720522,0.6021199380833822,2.0671091883564126
51_77,0.6699418425559998,0.6649349927902222,0.6879668235778809,0.6681428571428573,0.4648571428571428,0.6194285714285714,51,0,-0.18572668121925082,0.40100261893269995,-0.31566309332965126,0.358589790916726,0.34319449049751116,1.1602937613766293,0.5443164721359768,0.05780812843518879,1.4759568547062805,1.5741889462533367
51_79,0.5454485416412354,0.622219443321228,0.3507735133171081,0.52325,0.596,0.61625,51,0,-1.4915152897687824,-1.6695077022646694,-0.9169515131583774,2.050192462631291,-1.1405174596316314,1.12141037370526,3.5417077524000735,0.528990242633038,2.0383618868636377,4.120490706460825
