major_fit_stable,minor_fit_stable,wholetone_fit_stable,majorness_stable,tonal_clarity_stable,stable_pitch_fraction,nid
0.2997112617711767,0.3645620738211575,0.04123930494211611,-0.06485081204998083,0.12010014998047713,0.41151685393258425,51_1
0.23698787599352886,0.40792843644424226,1.2848334892853076e-17,-0.1709405604507134,0.27973800613524236,0.34507042253521125,51_2
0.44389703853459755,0.5322177548222037,0.04307304922539481,-0.08832071628760613,0.21759587410774717,0.3745704467353952,51_5
0.3597100820966001,0.36047524982416074,0.08006407690254357,-0.0007651677275606339,0.2698689426574987,0.20346320346320346,51_6
0.5490937449632844,0.7647243339565455,0.13018891098082389,-0.21563058899326104,0.4638917158824549,0.3275862068965517,51_15
0.5089905159989839,0.4708660002384555,0.39904344223381116,0.038124515760528443,0.23940046436030393,0.43983402489626555,51_19
0.3768960695742948,0.39153955792149037,0.3432032364918221,-0.014643488347195588,0.190066236933359,0.34459459459459457,51_24
0.4073330815286114,0.35813131916524615,0.2621112169983114,0.049201762363365265,0.04563403153060719,0.32421614409606403,51_25
0.5993668642408861,0.774019111671537,0.16666666666666666,-0.1746522474306509,0.18005708646126484,0.35855263157894735,51_28
0.4201699130682325,0.6454743321630164,0.13273296830047468,-0.22530441909478394,0.11817560847809572,0.4176334106728538,51_29
0.7396449528002993,0.5967345912367537,2.2446935540964786e-17,0.14291036156354564,0.2875372585319501,0.32014388489208634,51_30
0.43992134443382835,0.5763237137929954,7.616425545093506e-18,-0.13640236935916705,0.5298485557691937,0.3783783783783784,51_31
0.29327642560111516,0.43797476088606446,0.10586770098608783,-0.1446983352849493,0.2102014349545075,0.37142857142857144,51_33
0.2794620834897078,0.36405649247852667,0.07435477696708802,-0.08459440898881887,0.21027417086205114,0.41044776119402987,51_35
0.314888335204394,0.47040191838333134,9.813077866773593e-18,-0.15551358317893732,0.44211410869774026,0.24782608695652175,51_36
0.3273252815303825,0.4143168622368106,0.18741784341058298,-0.0869915807064281,0.17019800336691482,0.2789473684210526,51_45
0.23324671362025245,0.37998434193128705,0.11508706752968714,-0.1467376283110346,0.3120364102026709,0.4982698961937716,51_48
0.5434209963229217,0.4354247194903648,2.967195843610875e-17,0.10799627683255691,0.23668922585782182,0.4648648648648649,51_51
0.37998746289340524,0.46395384379686144,0.047114284743154544,-0.0839663809034562,0.3060484614155735,0.4452690166975881,51_52
0.23984003496417092,0.18538453729435755,0.4601789933084222,0.05445549766981336,0.11172593936823894,0.3191489361702128,51_56
0.3478386529536478,0.4948495091324853,0.0870754836240213,-0.14701085617883752,0.4045421810640184,0.27741935483870966,51_58
0.38011441884349323,0.48371449379703235,0.25927664769860886,-0.10360007495353912,0.19566352890386096,0.3126177024482109,51_59
