major_fit_fine,minor_fit_fine,wholetone_fit_fine,majorness_fine,tonal_clarity_fine,id
0.35990031479439355,0.45855880381904734,0.07608834125136776,-0.0986584890246538,0.046371855893218905,1_60
0.46120044158127105,0.32514014153504145,0.1192898977980919,0.1360603000462296,0.07699626039032059,1_70
0.5174328603568749,0.47205237582861437,0.05349162645222402,0.04538048452826049,0.08331148799376131,1_80
0.298263971327167,0.46544410494480826,0.026211670389889224,-0.16718013361764128,0.03846358824279161,1_90
0.300378051347887,0.4478202100698901,0.07433571702088954,-0.1474421587220031,0.02090328922464879,1_105
0.4494101276929661,0.508338276206291,0.10622533735385949,-0.058928148513324896,0.09408423701951096,1_162
0.2618218554399956,0.3167008176748018,0.05393203790955653,-0.054878962234806206,0.036477951575018874,1_175
0.319486935372945,0.4673018453170504,0.11866420656049502,-0.1478149099441054,0.036933101069444696,1_182
0.22112680966545364,0.4181579521718179,0.17127601976695428,-0.19703114250636425,0.008156253317815443,1_213
0.3418240422632376,0.3930933162371747,0.03284088009168867,-0.0512692739739371,0.10082795026424607,1_276
0.34718246589776947,0.46661990715962887,0.1197044452378448,-0.1194374412618594,0.012575683243147395,1_340
0.2186116913250152,0.3995252658945584,0.12388211655754233,-0.18091357456954318,0.01796701814734969,1_410
0.32331227149459796,0.36639257340793313,0.2300589032420841,-0.04308030191333517,0.006194671282218178,1_427
0.6625578425131443,0.44237779104001285,0.13986348956075245,0.22018005147313147,0.03002428362374221,1_430
0.549425167085215,0.4808073396631789,0.05800736831117042,0.06861782742203615,0.015805816401275985,1_467
0.5012043875959513,0.4835740927363817,0.02255331187491262,0.01763029485956963,0.02865425596046678,1_506
0.24253443103805403,0.36538375042061855,0.1141160025861377,-0.12284931938256452,0.015574903092908543,1_507
0.5501559671191938,0.6330774275885601,0.11558446728632568,-0.08292146046936633,0.040900259620214596,1_533
0.30278424524003344,0.5080892556642923,0.052574510175670615,-0.20530501042425886,0.05693427316231259,1_536
0.5863869991661931,0.45433830040453876,0.020685912267342694,0.13204869876165432,0.025120591411089355,1_537
0.24287430104086083,0.3493896593913875,0.07295103531670265,-0.10651535835052667,0.07107822447024215,1_672
0.3932280970443574,0.6435684913500919,0.05011214395927133,-0.25034039430573446,0.04358390815191915,1_971
0.6217902901249059,0.625406342925118,0.11449529317112504,-0.003616052800212044,0.03470090364823286,1_1001
0.28249435578638266,0.5349161676573572,0.0754436112515041,-0.2524218118709745,0.0068697348464753505,1_1003
0.35649870134842976,0.5685799581373427,0.08157630601852296,-0.212081256788913,0.02113767563837765,1_1144
0.16866606015455182,0.3837647779507403,0.012204970604742894,-0.2150987177961885,0.07225399528884957,1_1180
0.19895886121617815,0.4293033084929211,0.09287378998693739,-0.23034444727674294,0.05312381875562888,1_1185
0.4966558646723108,0.4537233064742125,0.04761842907914848,0.042932558198098325,0.03624977096860138,1_1189
0.1420341034414498,0.32411394930562604,0.06902346827812753,-0.18207984586417625,0.04872954683407693,1_1262
0.6357557699074557,0.5086659620578184,0.012184888259337666,0.1270898078496373,0.020259226081496884,1_1296
0.3060216654252179,0.4331360354564108,0.04633539573325838,-0.12711437003119286,0.048255762105015365,1_1466
0.5814110884074368,0.5505742190591176,0.10092920341286415,0.030836869348319196,0.057199854407079864,1_1470
0.39958307759322376,0.40055430681409754,0.06713762574660086,-0.0009712292208737816,0.03671261656271185,1_1478
0.23471847178360775,0.4317649889805223,0.07053566521183441,-0.19704651719691454,0.01413715165501439,1_1484
0.5307897405032505,0.5794533672988934,0.046020421590074426,-0.048663626795642956,0.03152641420898583,1_1549
0.36135543711258633,0.5396156442980942,0.069350049203916,-0.17826020718550784,0.07113951998627299,1_1560
0.41241872959978576,0.48902962779656767,0.027505662566548236,-0.0766108981967819,0.03665035787999893,1_1627
0.3005224415705541,0.4618782518682335,0.03993360942592365,-0.16135581029767943,0.08347300227576215,1_1638
0.2875861137494503,0.40312604868085744,0.038630628768123426,-0.11553993493140713,0.07505285834186248,1_1666
0.2836321201957675,0.4969088484445795,0.07831722310755823,-0.213276728248812,0.05862224153181317,1_1678
0.2978325695110616,0.3656625635457621,0.0769763548750682,-0.06782999403470052,0.1088645516727369,1_1722
0.4282692810889458,0.5419317921880418,0.02222519758601838,-0.11366251109909598,0.046492176566901855,1_1732
0.2965605213917551,0.37339055407465593,0.08499900089777683,-0.07683003268290084,0.029711844363391693,1_1772
0.2991287043807118,0.533360309296535,0.013638848340944476,-0.23423160491582318,0.04941247857901032,1_1798
0.3720238771886915,0.48681910450533844,0.028531687770255304,-0.11479522731664693,0.03137852411333575,1_1803
0.3546724178793155,0.47919759754040725,0.03824751286163259,-0.12452517966109172,0.0619756936494017,1_1931
0.195823344645529,0.42600797775823296,0.12019019740103173,-0.23018463311270396,0.02120055004402266,1_1973
0.6379968949982606,0.5306044243603676,0.09391048792271578,0.10739247063789303,0.040027032700344245,1_1987
0.509458516809331,0.700111978389238,0.06719224235654493,-0.19065346157990704,0.017157520041136798,1_2075
0.23204683838399212,0.347644161766803,0.04394463840172492,-0.1155973233828109,0.14822474616335024,1_2119
0.2288379612640205,0.3679522577220598,0.03881342831755311,-0.1391142964580393,0.03377652488709615,1_2198
0.30297861595582576,0.5541472186571799,0.11921765151784794,-0.2511686027013541,0.007193730913680807,1_2216
